iter	Passed	Remaining
670	1378	675
671	1379	673
672	1381	671
673	1382	668
674	1384	666
675	1386	664
676	1388	662
677	1389	660
678	1391	657
679	1393	655
680	1394	653
681	1396	651
682	1400	650
683	1402	648
684	1404	645
685	1406	643
686	1408	641
687	1410	639
688	1412	637
689	1414	635
690	1416	633
691	1417	631
692	1420	629
693	1422	627
694	1424	624
695	1425	622
696	1427	620
697	1429	618
698	1431	616
699	1432	613
700	1434	611
701	1436	609
702	1437	607
703	1439	605
704	1441	603
705	1442	600
706	1444	598
707	1446	596
708	1447	594
709	1449	592
710	1451	589
711	1452	587
712	1454	585
713	1456	583
714	1457	581
715	1459	578
716	1461	576
717	1463	574
718	1465	572
719	1467	570
720	1468	568
721	1470	566
722	1472	563
723	1473	561
724	1475	559
725	1476	557
726	1478	555
727	1480	553
728	1482	551
729	1484	548
730	1486	546
731	1487	544
732	1489	542
733	1491	540
734	1492	538
735	1494	536
736	1496	534
737	1498	532
738	1500	529
739	1502	527
740	1503	525
741	1505	523
742	1507	521
743	1508	519
744	1510	517
745	1512	515
746	1514	512
747	1516	510
748	1517	508
749	1519	506
750	1521	504
751	1522	502
752	1524	500
753	1526	497
754	1528	495
755	1529	493
756	1531	491
757	1533	489
758	1535	487
759	1537	485
760	1539	483
761	1541	481
762	1543	479
763	1544	477
764	1546	475
765	1548	473
766	1550	470
767	1551	468
768	1553	466
769	1555	464
770	1557	462
771	1559	460
772	1561	458
773	1563	456
774	1564	454
775	1566	452
776	1568	450
777	1569	447
778	1571	445
779	1573	443
780	1574	441
781	1576	439
782	1578	437
783	1579	435
784	1581	433
785	1583	431
786	1584	428
787	1586	426
788	1588	424
789	1590	422
790	1592	420
791	1593	418
792	1595	416
793	1597	414
794	1598	412
795	1601	410
796	1604	408
797	1607	406
798	1610	405
799	1613	403
800	1617	401
801	1619	399
802	1620	397
803	1622	395
804	1623	393
805	1625	391
806	1627	389
807	1629	387
808	1631	385
809	1633	383
810	1635	381
811	1636	378
812	1638	376
813	1639	374
814	1641	372
815	1642	370
816	1644	368
817	1646	366
818	1647	364
819	1649	362
820	1651	360
821	1653	357
822	1654	355
823	1656	353
824	1658	351
825	1660	349
826	1662	347
827	1663	345
828	1666	343
829	1667	341
830	1669	339
831	1670	337
832	1672	335
833	1674	333
834	1675	331
835	1677	329
836	1679	327
837	1681	325
838	1683	323
839	1685	321
840	1687	319
841	1689	316
842	1690	314
843	1691	312
844	1693	310
845	1695	308
846	1697	306
847	1699	304
848	1700	302
849	1702	300
850	1703	298
851	1705	296
852	1706	294
853	1708	292
854	1709	289
855	1711	287
856	1713	285
857	1715	283
858	1717	281
859	1719	279
860	1720	277
861	1722	275
862	1724	273
863	1725	271
864	1728	269
865	1729	267
866	1731	265
867	1733	263
868	1735	261
869	1737	259
870	1739	257
871	1740	255
872	1743	253
873	1744	251
874	1746	249
875	1748	247
876	1750	245
877	1752	243
878	1753	241
879	1755	239
880	1757	237
881	1759	235
882	1760	233
883	1762	231
884	1763	229
885	1765	227
886	1766	225
887	1768	223
888	1769	220
889	1771	218
890	1772	216
891	1774	214
